id,group,code,role,date,minggu
cdf37a44-45a8-4ada-b1fb-ee1d2d860543,GROUP-01,I2,aslab,2023-03-04 11:30:00,4
9d8b379a-5ab6-4afb-a417-eb61d0986bab,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
b2d61576-cdfe-4ff4-af80-70223068e862,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
7f76112d-5f09-4462-aac9-97687d24c955,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
ecfd17e7-2fa5-4b18-b66b-48aa3d209ff4,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
e476ab45-5e47-43a3-b435-89bdc4d1dffe,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
c692f0fa-34ab-48a3-8732-cb7fcaa38c26,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
d0f3f882-4319-4fad-a6c6-99c476c6294f,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
dc7e249d-3f91-4b37-a946-6f30c6c09534,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
db41515c-4d6d-4989-8a51-7bb276ff2c58,GROUP-01,I2,praktikan,2023-03-04 11:30:00,4
1dff7ee7-7769-4926-8628-a7c51d06791d,GROUP-01,I3,aslab,2023-03-09 11:30:00,5
7f76112d-5f09-4462-aac9-97687d24c955,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
ecfd17e7-2fa5-4b18-b66b-48aa3d209ff4,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
fddf79a4-fb54-4e78-ac70-69ad5b838554,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
83bc33ad-69ab-4906-a44a-0af35cc0f57a,GROUP-06,I4,praktikan,2023-04-12 11:30:00,10
d0f3f882-4319-4fad-a6c6-99c476c6294f,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
b2d61576-cdfe-4ff4-af80-70223068e862,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
dc93e155-e9d5-44d9-83e5-3034b6013509,GROUP-04,I4,praktikan,2023-04-06 09:00:00,9
dfeaf61d-5e81-405b-b886-9869e6b64ddc,GROUP-04,I4,praktikan,2023-04-06 09:00:00,9
e476ab45-5e47-43a3-b435-89bdc4d1dffe,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
c692f0fa-34ab-48a3-8732-cb7fcaa38c26,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
dc7e249d-3f91-4b37-a946-6f30c6c09534,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
61322a13-c09e-48ca-a94d-df0ea934a6ca,GROUP-12,I6,praktikan,2023-04-11 09:00:00,10
9ea4d834-9baf-46c4-81eb-c91e7bb6fb6a,GROUP-03,I6,praktikan,2023-04-10 11:30:00,10
b2d61576-cdfe-4ff4-af80-70223068e862,GROUP-01,I6,praktikan,2023-04-12 09:00:00,10
fddf79a4-fb54-4e78-ac70-69ad5b838554,GROUP-01,I6,praktikan,2023-04-12 09:00:00,10
0939e1f9-6a44-4b22-b78b-069078f95c57,GROUP-02,I6,praktikan,2023-04-12 11:30:00,10
3af10d4d-9e9d-45ea-9f9b-d0c5b9d08e47,GROUP-02,I6,praktikan,2023-04-12 11:30:00,10
0939e1f9-6a44-4b22-b78b-069078f95c57,GROUP-02,I3,praktikan,2023-03-10 09:00:00,5
f1d8b6f6-cc29-42ac-a4bb-e507a632bd33,GROUP-04,I4,praktikan,2023-04-06 09:00:00,9
a40bde97-69dc-43af-9de8-94bf674ebdcf,GROUP-11,I3,praktikan,2023-03-04 02:00:00,4
ae22e589-6950-4655-83bb-35e276148216,GROUP-02,I2,aslab,2023-03-03 11:30:00,4
c9430ed8-c5ac-4c49-9a92-7eea83222327,GROUP-02,I2,praktikan,2023-03-03 11:30:00,4
6173a797-739e-4ebf-930c-070de5ed643c,GROUP-02,I2,praktikan,2023-03-03 11:30:00,4
9d8b379a-5ab6-4afb-a417-eb61d0986bab,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
04b53f5d-4a1f-4d5a-b3bd-9010b6d72779,GROUP-02,I6,aslab,2023-04-12 11:30:00,10
7f76112d-5f09-4462-aac9-97687d24c955,GROUP-01,I6,praktikan,2023-04-12 09:00:00,10
db41515c-4d6d-4989-8a51-7bb276ff2c58,GROUP-01,I3,praktikan,2023-03-09 11:30:00,5
db41515c-4d6d-4989-8a51-7bb276ff2c58,GROUP-01,I4,praktikan,2023-04-05 11:30:00,9
27e191b5-e5e0-43e6-bb2b-97aeaa634eda,GROUP-02,I3,praktikan,2023-03-10 09:00:00,5
d485d075-cbd7-4352-bf47-ca507f44a1d5,GROUP-02,I3,praktikan,2023-03-10 09:00:00,5
9d8b379a-5ab6-4afb-a417-eb61d0986bab,GROUP-01,I5,praktikan,,11
3af10d4d-9e9d-45ea-9f9b-d0c5b9d08e47,GROUP-02,I3,praktikan,2023-03-10 09:00:00,5
c9430ed8-c5ac-4c49-9a92-7eea83222327,GROUP-02,I6,praktikan,2023-04-12 11:30:00,10
ecfd17e7-2fa5-4b18-b66b-48aa3d209ff4,GROUP-01,I5,praktikan,,11
